age,employer,start_date,income,hispanic_or_latino
52,viverra viverra venenatis,20210409,75212.62,No
47,tincidunt amet ornare tel,20190525,57500.37,Yes
72,mus commodo turpis,20221109,47738.43,Yes
57,non nibh nibh nasc,20190419,59957.63,Yes
50,eget praesent,20230729,83519.59,Yes
51,donec pulvin,20191128,18845.71,Yes
53,malesuada ,20190114,52334.21,No
60,libero duis molestie id ,20210323,79834.25,Yes
67,ridiculus sagittis lorem pel,20230417,81985.10,Yes
65,accumsan mus magna ,20230706,44977.13,Yes
52,id quis amet vivamus ,20200420,60941.15,Yes
46,habitant odio duis n,20190914,76812.47,No
47,consequat a velit mus risus r,20220307,60236.38,Yes
63,arcu curabitur ma,20191215,53062.27,No
44,ante nunc nisl erat nam frin,20211202,44599.71,Yes
44,phasellus ma,20210322,60143.21,Yes
51,nascetur potenti senectus,20230619,60897.14,Yes
64,id faucibus ridiculus amet ,20200411,30165.07,Yes
45,nec justo laoreet sed,20200408,104321.61,Yes
67,suscipit feugiat placerat do,20220504,65083.09,Yes
50,id est phasellus ,20200225,119333.79,Yes
41,adipiscing ipsum,20190312,42602.53,No
64,sapien nulla ul,20210924,73544.47,Yes
64,at velit habit,20220606,78038.92,Yes
54,magnis ligula dolor ,20220706,33138.56,Yes
68,molestie fames elementum aug,20200701,76415.31,Yes
52,cras in potenti eges,20201102,55340.30,Yes
36,at facilisi neque na,20220514,79589.92,Yes
54,ornare morbi cum con,20190226,82536.95,Yes
61,lectus aliquet fringilla ves,20220723,52222.43,Yes
41,commodo quisque ,20200826,72663.92,Yes
62,imperdiet egestas lacu,20230723,75783.85,Yes
60,commodo neque tempus laoreet,20210913,35781.45,Yes
36,euismod molestie v,20210726,41548.76,Yes
56,vel commodo volutpat amet pla,20190712,35480.29,Yes
56,sociis ac lobortis lao,20200626,100370.17,Yes
71,sed massa massa n,20190316,69143.62,Yes
69,semper purus inte,20220716,62486.18,No
49,bibendum ut t,20190124,43057.09,Yes
38,cras augue,20230519,68873.05,Yes
40,ut lectus habitant amet c,20211222,32317.76,Yes
66,dui arcu diam penatibus facil,20220425,73430.93,Yes
36,dignissim sagittis ,20210305,94305.10,Yes
52,velit volutpat habitant lectu,20190202,64075.78,Yes
78,eleifend molesti,20210502,83882.20,Yes
68,netus faucibus ,20190316,88909.61,Yes
49,mi placerat enim,20211112,69420.89,Yes
58,ridiculus ridiculus l,20190109,99903.67,Yes
52,vitae felis ur,20230301,34922.29,Yes
69,euismod interdum an,20211226,94674.66,Yes
72,erat donec parturient dui,20230726,46594.24,Yes
48,nam laoreet mattis fri,20190922,52302.39,Yes
53,sagittis s,20230216,101598.43,Yes
59,metus velit vitae eu s,20190420,97493.38,Yes
64,tristique ac est n,20190131,28498.52,Yes
78,faucibus elementum in viver,20221207,68310.76,Yes
53,ut ultricies nulla pu,20230813,84917.40,No
34,fusce massa mollis n,20230312,120813.42,Yes
63,eget liber,20210920,97525.84,No
51,est habitasse facilisis l,20220915,51846.07,No
68,pretium neque varius curab,20230307,50112.52,Yes
78,ligula lacinia lorem metu,20230621,59295.07,No
61,lorem sit risus ,20211015,61664.57,No
60,purus bibendum et turp,20190725,39915.67,Yes
83,sagittis bibendum f,20190629,33874.65,Yes
58,et ornare habitasse pharetra ,20230106,98977.93,Yes
54,commodo vivamus sag,20211126,90548.39,Yes
66,pulvinar hac vel consectetu,20200613,49450.39,Yes
61,facilisi sodale,20190612,53459.54,No
54,lorem cras,20200227,34250.10,Yes
49,platea tempus,20210625,16164.68,Yes
52,eros phasellus aliquet dui,20190701,37084.23,No
46,turpis nulla dictum ,20220814,56971.57,Yes
50,habitant f,20200306,108950.40,Yes
56,ligula sem mus tincid,20190819,70154.57,Yes
37,lacus gravida enim commodo pl,20210217,50502.10,Yes
52,mollis consectetur blandi,20190430,72870.47,Yes
55,proin curabitur vest,20220909,85266.39,Yes
51,mauris consequat sed dolo,20211101,53859.09,Yes
67,rhoncus ultricies l,20230301,37708.90,Yes
67,sodales ma,20220111,34586.24,No
68,lacinia nato,20210701,60698.54,Yes
77,sit vitae ,20191003,43640.83,No
43,lectus mattis et,20230730,86110.37,Yes
55,iaculis habit,20210420,37929.82,Yes
47,sapien eros nunc adipiscin,20220521,46869.57,Yes
43,cursus vel metus etiam ,20191103,59454.69,Yes
55,nibh massa dolor interdu,20220629,80965.86,No
66,placerat gr,20230801,52946.76,No
55,diam arcu mi vitae nullam,20200128,60730.97,No
58,velit sem nisl dol,20200901,44508.17,Yes
40,feugiat rhoncus suspen,20201125,72446.01,No
66,facilisi suspendisse fusce,20220613,76973.33,No
60,est facilisi adipiscing,20221216,41603.14,Yes
61,dignissim vel cum t,20210530,42241.57,Yes
54,ante cras eros quisque ,20190516,38113.58,Yes
84,donec donec lobortis eg,20210920,52896.97,Yes
47,laoreet proin et vestibu,20230515,108118.66,Yes
60,facilisi aliquam tempus a u,20211113,57814.12,Yes
71,sodales nulla pulvin,20200408,40936.53,Yes
