app_date,app_method,ct_guarantee,ct_guarantee_ff
20210311,2,6,
20210720,3,11;5;3;9,
20220308,3,3,
20210528,3,1;7,cras adipiscing quisque parturient praesent aenean convallis tempus in penatibus lorem f
20220412,3,9;6;8;7,
20220327,1,1,
20211128,3,4;9;3,
20220611,3,3;5;2;7,
20220219,2,9;5;1;10,aliquet eleif
20211109,1,6;5,
20220211,4,2,
20211222,4,977,
20211206,3,10;11;1;9,
20210502,3,6;1;5,eget mauris gravida neque massa mi iaculis euismod egestas integer massa dis venenatis curabitur lu
20221008,3,2;5;6;3,
20211120,2,5;4;9,
20220503,1,5,
20230223,3,5;6;11;3,
20210417,3,999,nisi leo neque tortor nibh velit suspendisse tortor 
20201009,3,4;8;9,
20211017,4,977,
20220312,3,9;7;8,
20210823,1,999,
20210829,2,4;7;9,
20220417,2,9;4;10,
20210305,3,10;2;8;3,ante est scelerisque neque ligula quam sodal
20210501,4,5;8,
20210911,3,9;4,nullam sed sodales faucibus id netus viverra 
20211011,3,11;5,
20210607,2,11;10;9,
20210213,3,977,
20210909,4,2,
20220128,2,977,
20210412,3,9;10,
20210208,3,3;4;11;10,vestibulum purus pretium magna congue neque vulputate faucibus magna porta laoreet
20210503,3,4;7;8;6,
20210301,3,8;3;4,
20220209,3,10;1,parturient ipsum condimentum dictum fermentum adipiscing scelerisque accum
20220205,4,5;4;10,
20210307,2,999,
20211004,2,11,elit nec integer nisl ultricies hen
20210720,1,6;10;4;3,
20220123,2,8;1;2,risus fames est netus blandit eget lobortis cras augue nascetur non qui
20220510,4,8;2;3,
20220120,2,2;9,
20210417,3,4;2;8,lacus nisl lobortis ac adipiscing aene
20220605,4,4;11;5;6,molestie etiam aliquam eget ullam
20210620,2,9;5;1;10,
20211124,3,10,
20210801,3,4,platea interdum dolor condimentum blandit dictum malesua
20220416,3,10;7,placerat viverra ac dignissim montes semper nec quis fames posuere adipi
20211101,3,8;11;10;5,cum urna sed velit sodales eget ame
20211111,3,999,
20211010,4,977,
20210125,3,11;6;2;1,elit mattis convallis hendrerit fringilla sem vitae convallis cursus est cum dui 
20220209,3,6;2,cursus netus fermentum nulla et consequat phasellus bibendum sodales habitasse 
20220328,3,4;2,vivamus montes aenean ullamcorper nullam eleifend odio semper aliquet cras felis praesent ligu
20220310,3,2,vitae habitant porta co
20211122,2,8;3,eget venenatis iaculis mi v
20210628,4,2;5;6;11,bibendum dictum scelerisque lobortis lacus dictumst dictum sagittis velit a ut eros 
20220125,3,4;7;6,
20220216,2,1,
20211130,3,3,felis fusce varius erat lacinia montes a suspendisse integer luctus natoque quam fames praesen
20220528,4,999,scelerisque aliquam mollis velit sagittis quis pellentesque mattis eget ante posuere vitae 
20210604,3,7;9,
20210520,3,6,
20210818,2,11;3;4,
20220327,3,4;6,
20210513,1,1;6;3,
20211211,3,977,massa porttitor urna phasellus rutrum mauris neque placerat lorem eu ut semper 
20220216,3,977,
20211005,3,10,
20220119,2,8;4;1,
20210213,4,7;8;5,
20210710,4,2;5;11,nascetur facilisis volutpat est suscipit ac habitant co
20220510,2,4;9;6;2,
20211020,3,6,tortor non potenti platea morbi erat varius urna ultrice
20220328,3,999,non aliquet vulputate netus maecenas 
20200927,3,8;4,magna odio eros ac proin sapien tempor id varius arcu fermentum
20210830,2,6;3;5;10,
20221019,2,6,
20210402,2,6;9;1;5,
20211129,3,3;11;6,
20210707,2,2,euismod morbi sem luctus etiam tempor enim phasellus 
20210218,1,7;5,orci lorem sagittis mauris egestas vivamus eget aliquam cursus sapien egestas netus 
20220801,3,8;6,
20220712,3,2;9,
20220410,4,6;3;8;9,lacus velit curabitur impe
20210729,2,11;5;4,massa quisque enim magnis nec egestas vel rutrum pharetra ipsum facilisis vitae ligula quam m
20200806,2,999,commodo sociis velit congue elit aenean consectetur nunc habitasse
20210710,2,999,accumsan morbi pretium ac facilisis nisi risus rutrum imperdiet nunc du
20200929,2,9;1,
20211123,3,6,
20210410,2,5;10;9,massa ridiculus tortor in enim fermentum facilisi nascetur imperdiet mattis dui di
20210412,3,2;4;1,
20210427,2,5;11;9,ante tellus nas
20221019,2,999,maecenas feug
20210211,4,999,vel nisi nunc interdum ut a
20211208,3,4;5,varius n
20211017,1,2;4;6;1,
